Num	lon	lat
1	0.73022	0.17726
1	0.86984	0.17726
1	1.0095	0.17726
1	1.1491	0.17726
1	1.2887	0.17726
1	1.4283	0.17726
1	1.568	0.17726
1	1.7076	0.17726
1	1.8472	0.17726
1	1.9869	0.17726
1	2.1265	0.17726
1	2.2661	0.17726
1	2.4057	0.17726
1	2.5454	0.17726
1	2.685	0.17726
1	2.8246	0.17726
1	2.9642	0.17726
1	3.1039	0.17726
1	3.2435	0.17726
1	3.3831	0.17726
1	3.5227	0.17726
1	3.6624	0.17726
1	3.802	0.17726
1	3.9416	0.17726
1	4.0812	0.17726
1	4.2209	0.17726
1	4.3605	0.17726
1	4.5001	0.17726
1	4.6398	0.17726
1	4.7794	0.17726
1	4.919	0.17726
1	5.0586	0.17726
1	5.1983	0.17726
1	5.3379	0.17726
1	5.4775	0.17726
1	5.6171	0.17726
1	5.7568	0.17726
1	5.8964	0.17726
1	6.029	0.20246
1	6.1547	0.20246
1	6.2804	0.20246
1	0.12284	0.20246
1	0.2485	0.20246
1	0.37417	0.20246
1	0.49983	0.20246
1	0.6255	0.20246
1	0.75116	0.20246
1	0.87682	0.20246
1	1.0025	0.20246
1	1.1282	0.20246
1	1.2538	0.20246
1	1.3795	0.20246
1	1.5051	0.20246
1	1.6308	0.20246
1	1.7565	0.20246
1	1.8821	0.20246
1	2.0078	0.20246
1	2.1335	0.20246
1	2.2591	0.20246
1	2.3848	0.20246
1	2.5105	0.20246
1	2.6361	0.20246
1	2.7618	0.20246
1	2.8874	0.20246
1	3.0131	0.20246
1	3.1388	0.20246
1	3.2644	0.20246
1	3.3901	0.20246
1	3.5158	0.20246
1	3.6414	0.20246
1	3.7671	0.20246
1	3.8928	0.20246
1	4.0184	0.20246
1	4.1441	0.20246
1	4.2697	0.20246
1	4.3954	0.20246
1	4.5211	0.20246
1	4.6467	0.20246
1	4.7724	0.20246
1	4.8981	0.20246
1	5.0237	0.20246
1	5.1494	0.20246
1	5.2751	0.20246
1	5.4007	0.20246
1	5.5264	0.20246
1	5.652	0.20246
1	5.7777	0.20246
1	5.9034	0.20246
1	6.0147	0.22752
1	6.1249	0.22752
1	6.2352	0.22752
1	0.062213	0.22752
1	0.17244	0.22752
1	0.28268	0.22752
1	0.39291	0.22752
1	0.50314	0.22752
1	0.61337	0.22752
1	0.7236	0.22752
1	0.83383	0.22752
1	0.94406	0.22752
1	1.0543	0.22752
1	1.1645	0.22752
1	1.2748	0.22752
1	1.385	0.22752
1	1.4952	0.22752
1	1.6055	0.22752
1	1.7157	0.22752
1	1.8259	0.22752
1	1.9361	0.22752
1	2.0464	0.22752
1	2.1566	0.22752
1	2.2668	0.22752
1	2.3771	0.22752
1	2.4873	0.22752
1	2.5975	0.22752
1	2.7078	0.22752
1	2.818	0.22752
1	2.9282	0.22752
1	3.0385	0.22752
1	3.1487	0.22752
1	3.2589	0.22752
1	3.3692	0.22752
1	3.4794	0.22752
1	3.5896	0.22752
1	3.6998	0.22752
1	3.8101	0.22752
1	3.9203	0.22752
1	4.0305	0.22752
1	4.1408	0.22752
1	4.251	0.22752
1	4.3612	0.22752
1	4.4715	0.22752
1	4.5817	0.22752
1	4.6919	0.22752
1	4.8022	0.22752
1	4.9124	0.22752
1	5.0226	0.22752
1	5.1329	0.22752
1	5.2431	0.22752
1	5.3533	0.22752
1	5.4635	0.22752
1	5.5738	0.22752
1	5.684	0.22752
1	5.7942	0.22752
1	5.9045	0.22752
1	6.0068	0.25276
1	6.1066	0.25276
1	6.2063	0.25276
1	0.022845	0.25276
1	0.12258	0.25276
1	0.22231	0.25276
1	0.32204	0.25276
1	0.42178	0.25276
1	0.52151	0.25276
1	0.62124	0.25276
1	0.72098	0.25276
1	0.82071	0.25276
1	0.92044	0.25276
1	1.0202	0.25276
1	1.1199	0.25276
1	1.2196	0.25276
1	1.3194	0.25276
1	1.4191	0.25276
1	1.5188	0.25276
1	1.6186	0.25276
1	1.7183	0.25276
1	1.818	0.25276
1	1.9178	0.25276
1	2.0175	0.25276
1	2.1172	0.25276
1	2.217	0.25276
1	2.3167	0.25276
1	2.4164	0.25276
1	2.5162	0.25276
1	2.6159	0.25276
1	2.7156	0.25276
1	2.8154	0.25276
1	2.9151	0.25276
1	3.0148	0.25276
1	3.1146	0.25276
1	3.2143	0.25276
1	3.314	0.25276
1	3.4138	0.25276
1	3.5135	0.25276
1	3.6132	0.25276
1	3.713	0.25276
1	3.8127	0.25276
1	3.9124	0.25276
1	4.0122	0.25276
1	4.1119	0.25276
1	4.2116	0.25276
1	4.3114	0.25276
1	4.4111	0.25276
1	4.5108	0.25276
1	4.6106	0.25276
1	4.7103	0.25276
1	4.81	0.25276
1	4.9098	0.25276
1	5.0095	0.25276
1	5.1092	0.25276
1	5.209	0.25276
1	5.3087	0.25276
1	5.4084	0.25276
1	5.5082	0.25276
1	5.6079	0.25276
1	5.7076	0.25276
1	5.8074	0.25276
1	5.9071	0.25276
1	6.0002	0.27775
1	6.0926	0.27775
1	6.185	0.27775
1	6.2774	0.27775
1	0.086645	0.27775
1	0.17904	0.27775
1	0.27144	0.27775
1	0.36384	0.27775
1	0.45624	0.27775
1	0.54864	0.27775
1	0.64104	0.27775
